iter	Logloss
0	0.6724090675
1	0.6575811822
2	0.6455256238
3	0.6378049392
4	0.636534353
5	0.6354295319
6	0.6335315589
7	0.6278242718
8	0.6272136525
9	0.6212034429
10	0.6205440871
11	0.6200221178
12	0.6194025609
13	0.6187973271
14	0.6185211027
15	0.6180832764
16	0.6172120926
17	0.6165830635
18	0.6159997916
19	0.6157548869
20	0.6152872306
21	0.6144530574
22	0.614360779
23	0.614075617
24	0.6139265812
25	0.613691187
26	0.6133237154
27	0.6126770021
28	0.6125592859
29	0.6119861356
30	0.6095246374
31	0.6055646832
32	0.6050976762
33	0.6048186636
34	0.6042794303
35	0.6038641771
36	0.6034730629
37	0.6006228951
38	0.5972402544
39	0.5969066997
40	0.5937832867
41	0.5935464793
42	0.5930394824
43	0.5928860159
44	0.5927425947
45	0.5919064736
46	0.5912537255
47	0.5910292932
48	0.5904903273
49	0.5899772573
50	0.5896897273
51	0.5895450075
52	0.589112452
53	0.5882860707
54	0.5880821489
55	0.5876187322
56	0.5874496441
57	0.5870891621
58	0.5866842979
59	0.5863546391
60	0.5858967987
61	0.5853495063
62	0.5849988022
63	0.5846108964
64	0.5843690473
65	0.584130865
66	0.5810823518
67	0.5808612425
68	0.5802392793
69	0.5800584655
70	0.5798044704
71	0.5793318869
72	0.5788214142
73	0.5786078292
74	0.5785492767
75	0.5781704995
76	0.5776545649
77	0.5772146379
78	0.5771345054
79	0.5768273815
80	0.5766906825
81	0.5765754108
82	0.5760065383
83	0.5755227638
84	0.5751613269
85	0.5750410135
86	0.5748123416
87	0.5745842426
88	0.5720761851
89	0.5717943079
90	0.5715595248
91	0.5711321257
92	0.5709417249
93	0.5704880478
94	0.5703320987
95	0.570046593
96	0.5681423943
97	0.5663646965
98	0.5658795851
99	0.5652842819
