model_key,model_label,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_gamma,param_kernel,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_samples,param_num_leaves,param_reg_alpha,param_depth,param_iterations,param_l2_leaf_reg
logreg,Logistic Regression,0.15562858581542968,0.05299132140875361,0.02830953598022461,0.012121628979008146,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.02797271194322297,0.03496418006375328,0.027955608479720413,0.027944656712401764,0.027944656712401764,0.029356362782300038,0.0028039274233979342,,,,,,,,,,,,,,,
logreg,Logistic Regression,1.0163889884948731,0.3373880343010372,0.009187412261962891,0.0033957898726381408,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",0.4928564451137837,0.4884700002829965,0.4881249136978659,0.4773323429320409,0.4803183438573101,0.4854204091767994,0.005715887808197857,1,0.511081481598635,0.4995090395804774,0.4875835876782534,0.5185804406818548,0.5171686308546589,0.506784636078776,0.011722165322553501,,,,,,,,,,,,,,,
logreg,Logistic Regression,0.8828109741210938,0.6964737205660054,0.008441543579101563,0.002635285041835305,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",0.48304589153964794,0.0,0.0,0.46141758255206006,0.46211301261142074,0.28131529734062577,0.22982448636170175,9,0.499787596791738,0.03496418006375328,0.027955608479720413,0.5001188918720361,0.5074513462350003,0.3140555246884496,0.23076527629008806,,,,,,,,,,,,,,,
logreg,Logistic Regression,1.0599339008331299,0.3268632034445114,0.017274236679077147,0.011993808470451912,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",0.487952278886561,0.48845431981815823,0.4881249136978659,0.4773323429320409,0.47466593014504616,0.48330595709593444,0.006027444226603498,7,0.5084854542784031,0.5032874391633135,0.48903711706380004,0.5171834341701776,0.5195649514509058,0.5075116792253201,0.010944643475899867,,,,,,,,,,,,,,,
logreg,Logistic Regression,1.30837984085083,0.4672820368005931,0.012307977676391602,0.007940678487170403,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",0.48393302891060064,0.48845431981815823,0.48082088711930565,0.4715955092414717,0.4758082125784738,0.480122391533602,0.005928739223847364,8,0.5092805844814935,0.5053094590130796,0.49298118183749556,0.5201457482910286,0.5211686189071266,0.5097771185060448,0.010388308630017074,,,,,,,,,,,,,,,
logreg,Logistic Regression,1.1114614486694336,0.23852973967352797,0.009699440002441407,0.0037445754516949774,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",0.487952278886561,0.4898479155739635,0.48970717040400585,0.4773323429320409,0.47466593014504616,0.4839011275883235,0.006541009876797779,2,0.5084854542784031,0.5032874391633135,0.4884489784059517,0.516581708039527,0.5191687905458379,0.5071944740866067,0.010952895288585316,,,,,,,,,,,,,,,
logreg,Logistic Regression,1.3534836292266845,0.3196506875172482,0.009606409072875976,0.0033172674319384937,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",0.487952278886561,0.4870881870470524,0.4881249136978659,0.47893145073767723,0.47466593014504616,0.4833525521028405,0.005529763619426241,6,0.5074864910304381,0.5045535730865206,0.4878601307194131,0.5171834341701776,0.519960810518962,0.5074088879051023,0.011343767173701438,,,,,,,,,,,,,,,
logreg,Logistic Regression,1.234546422958374,0.21541774859309615,0.011198949813842774,0.007174030392048154,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",0.487952278886561,0.4898479155739635,0.48970717040400585,0.4773323429320409,0.47466593014504616,0.4839011275883235,0.006541009876797779,2,0.5084854542784031,0.5036645748019707,0.4878601307194131,0.516581708039527,0.5191687905458379,0.5071521316770303,0.011130490589459729,,,,,,,,,,,,,,,
logreg,Logistic Regression,1.4339844226837157,0.2528793430267424,0.011193466186523438,0.005793393284212078,100.0,l1,"{'C': 100.0, 'penalty': 'l1'}",0.487952278886561,0.4898479155739635,0.48970717040400585,0.4773323429320409,0.47466593014504616,0.4839011275883235,0.006541009876797779,2,0.5084854542784031,0.5042985141023534,0.4888551730527865,0.5159792801867258,0.5191687905458379,0.5073574424332213,0.010647135351516849,,,,,,,,,,,,,,,
logreg,Logistic Regression,1.049542236328125,0.15580375505408986,0.009235286712646484,0.0014857857809888267,100.0,l2,"{'C': 100.0, 'penalty': 'l2'}",0.487952278886561,0.4898479155739635,0.48970717040400585,0.4773323429320409,0.47466593014504616,0.4839011275883235,0.006541009876797779,2,0.5084854542784031,0.5036645748019707,0.4878601307194131,0.516581708039527,0.5191687905458379,0.5071521316770303,0.011130490589459729,,,,,,,,,,,,,,,
